#x1	y1	z1	x2	y2	z2
0.000000	0.000000	0.000000	0.464102	-1.000000	-0.267949
0.464102	-1.000000	-0.267949	0.000000	-2.000000	0.000000
0.464102	-1.000000	-0.267949	0.267949	-1.000000	-0.464102
0.000000	0.000000	0.000000	0.267949	-1.000000	-0.464102
0.267949	-1.000000	-0.464102	0.000000	-2.000000	0.000000
0.267949	-1.000000	-0.464102	0.000000	-1.000000	-0.535898
0.000000	0.000000	0.000000	-0.535898	0.000000	-1.000000
-0.535898	0.000000	-1.000000	0.000000	0.000000	-2.000000
-0.535898	0.000000	-1.000000	-0.464102	-0.267949	-1.000000
0.000000	0.000000	0.000000	-0.464102	-0.267949	-1.000000
-0.464102	-0.267949	-1.000000	0.000000	0.000000	-2.000000
-0.464102	-0.267949	-1.000000	-0.267949	-0.464102	-1.000000
0.000000	0.000000	0.000000	-0.267949	-0.464102	-1.000000
-0.267949	-0.464102	-1.000000	0.000000	0.000000	-2.000000
-0.267949	-0.464102	-1.000000	-0.000000	-0.535898	-1.000000
0.000000	0.000000	0.000000	-0.000000	-0.535898	-1.000000
-0.000000	-0.535898	-1.000000	0.000000	0.000000	-2.000000
-0.000000	-0.535898	-1.000000	0.267949	-0.464102	-1.000000
0.000000	0.000000	0.000000	0.267949	-0.464102	-1.000000
0.267949	-0.464102	-1.000000	0.000000	0.000000	-2.000000
0.267949	-0.464102	-1.000000	0.464102	-0.267949	-1.000000
0.000000	0.000000	0.000000	0.464102	-0.267949	-1.000000
0.464102	-0.267949	-1.000000	0.000000	0.000000	-2.000000
0.464102	-0.267949	-1.000000	0.535898	-0.000000	-1.000000
0.000000	0.000000	0.000000	0.535898	-0.000000	-1.000000
0.535898	-0.000000	-1.000000	0.000000	0.000000	-2.000000
0.535898	-0.000000	-1.000000	0.464102	0.267949	-1.000000
0.000000	0.000000	0.000000	0.464102	0.267949	-1.000000
0.464102	0.267949	-1.000000	0.000000	0.000000	-2.000000
0.464102	0.267949	-1.000000	0.267949	0.464102	-1.000000
0.000000	0.000000	0.000000	0.267949	0.464102	-1.000000
0.267949	0.464102	-1.000000	0.000000	0.000000	-2.000000
0.267949	0.464102	-1.000000	0.000000	0.535898	-1.000000
0.000000	0.000000	0.000000	0.000000	0.535898	-1.000000
0.000000	0.535898	-1.000000	0.000000	0.000000	-2.000000
0.000000	0.535898	-1.000000	-0.267949	0.464102	-1.000000
0.000000	0.000000	0.000000	-0.267949	0.464102	-1.000000
-0.267949	0.464102	-1.000000	0.000000	0.000000	-2.000000
-0.267949	0.464102	-1.000000	-0.464102	0.267949	-1.000000
0.000000	0.000000	0.000000	-0.464102	0.267949	-1.000000
-0.464102	0.267949	-1.000000	0.000000	0.000000	-2.000000
-0.464102	0.267949	-1.000000	-0.535898	0.000000	-1.000000
0.000000	0.000000	0.000000	1.000000	0.535898	0.000000
1.000000	0.535898	0.000000	2.000000	0.000000	0.000000
1.000000	0.535898	0.000000	1.000000	0.464102	0.267949
0.000000	0.000000	0.000000	1.000000	0.464102	0.267949
1.000000	0.464102	0.267949	2.000000	0.000000	0.000000
1.000000	0.464102	0.267949	1.000000	0.267949	0.464102
0.000000	0.000000	0.000000	1.000000	0.267949	0.464102
1.000000	0.267949	0.464102	2.000000	0.000000	0.000000
1.000000	0.267949	0.464102	1.000000	0.000000	0.535898
0.000000	0.000000	0.000000	1.000000	0.000000	0.535898
1.000000	0.000000	0.535898	2.000000	0.000000	0.000000
1.000000	0.000000	0.535898	1.000000	-0.267949	0.464102
0.000000	0.000000	0.000000	1.000000	-0.267949	0.464102
1.000000	-0.267949	0.464102	2.000000	0.000000	0.000000
1.000000	-0.267949	0.464102	1.000000	-0.464102	0.267949
0.000000	0.000000	0.000000	1.000000	-0.464102	0.267949
1.000000	-0.464102	0.267949	2.000000	0.000000	0.000000
1.000000	-0.464102	0.267949	1.000000	-0.535898	0.000000
0.000000	0.000000	0.000000	1.000000	-0.535898	0.000000
1.000000	-0.535898	0.000000	2.000000	0.000000	0.000000
1.000000	-0.535898	0.000000	1.000000	-0.464102	-0.267949
0.000000	0.000000	0.000000	1.000000	-0.464102	-0.267949
1.000000	-0.464102	-0.267949	2.000000	0.000000	0.000000
1.000000	-0.464102	-0.267949	1.000000	-0.267949	-0.464102
0.000000	0.000000	0.000000	1.000000	-0.267949	-0.464102
1.000000	-0.267949	-0.464102	2.000000	0.000000	0.000000
1.000000	-0.267949	-0.464102	1.000000	-0.000000	-0.535898
0.000000	0.000000	0.000000	1.000000	-0.000000	-0.535898
1.000000	-0.000000	-0.535898	2.000000	0.000000	0.000000
1.000000	-0.000000	-0.535898	1.000000	0.267949	-0.464102
0.000000	0.000000	0.000000	1.000000	0.267949	-0.464102
1.000000	0.267949	-0.464102	2.000000	0.000000	0.000000
1.000000	0.267949	-0.464102	1.000000	0.464102	-0.267949
0.000000	0.000000	0.000000	1.000000	0.464102	-0.267949
1.000000	0.464102	-0.267949	2.000000	0.000000	0.000000
1.000000	0.464102	-0.267949	1.000000	0.535898	-0.000000
0.000000	0.000000	0.000000	0.000000	1.000000	0.535898
0.000000	1.000000	0.535898	0.000000	2.000000	0.000000
0.000000	1.000000	0.535898	0.267949	1.000000	0.464102
0.000000	0.000000	0.000000	0.267949	1.000000	0.464102
0.267949	1.000000	0.464102	0.000000	2.000000	0.000000
0.267949	1.000000	0.464102	0.464102	1.000000	0.267949
0.000000	0.000000	0.000000	0.464102	1.000000	0.267949
0.464102	1.000000	0.267949	0.000000	2.000000	0.000000
0.464102	1.000000	0.267949	0.535898	1.000000	0.000000
0.000000	0.000000	0.000000	0.535898	1.000000	0.000000
0.535898	1.000000	0.000000	0.000000	2.000000	0.000000
0.535898	1.000000	0.000000	0.464102	1.000000	-0.267949
0.000000	0.000000	0.000000	0.464102	1.000000	-0.267949
0.464102	1.000000	-0.267949	0.000000	2.000000	0.000000
0.464102	1.000000	-0.267949	0.267949	1.000000	-0.464102
0.000000	0.000000	0.000000	0.267949	1.000000	-0.464102
0.267949	1.000000	-0.464102	0.000000	2.000000	0.000000
0.267949	1.000000	-0.464102	0.000000	1.000000	-0.535898
0.000000	0.000000	0.000000	0.000000	1.000000	-0.535898
0.000000	1.000000	-0.535898	0.000000	2.000000	0.000000
0.000000	1.000000	-0.535898	-0.267949	1.000000	-0.464102
0.000000	0.000000	0.000000	-0.267949	1.000000	-0.464102
-0.267949	1.000000	-0.464102	0.000000	2.000000	0.000000
-0.267949	1.000000	-0.464102	-0.464102	1.000000	-0.267949
0.000000	0.000000	0.000000	-0.464102	1.000000	-0.267949
-0.464102	1.000000	-0.267949	0.000000	2.000000	0.000000
-0.464102	1.000000	-0.267949	-0.535898	1.000000	-0.000000
0.000000	0.000000	0.000000	-0.535898	1.000000	-0.000000
-0.535898	1.000000	-0.000000	0.000000	2.000000	0.000000
-0.535898	1.000000	-0.000000	-0.464102	1.000000	0.267949
0.000000	0.000000	0.000000	-0.464102	1.000000	0.267949
-0.464102	1.000000	0.267949	0.000000	2.000000	0.000000
-0.464102	1.000000	0.267949	-0.267949	1.000000	0.464102
0.000000	0.000000	0.000000	-0.267949	1.000000	0.464102
-0.267949	1.000000	0.464102	0.000000	2.000000	0.000000
-0.267949	1.000000	0.464102	-0.000000	1.000000	0.535898
0.000000	0.000000	0.000000	0.535898	0.000000	1.000000
0.535898	0.000000	1.000000	0.000000	0.000000	2.000000
0.535898	0.000000	1.000000	0.464102	0.267949	1.000000
0.000000	0.000000	0.000000	0.464102	0.267949	1.000000
0.464102	0.267949	1.000000	0.000000	0.000000	2.000000
0.464102	0.267949	1.000000	0.267949	0.464102	1.000000
0.000000	0.000000	0.000000	0.267949	0.464102	1.000000
0.267949	0.464102	1.000000	0.000000	0.000000	2.000000
0.267949	0.464102	1.000000	0.000000	0.535898	1.000000
0.000000	0.000000	0.000000	0.000000	0.535898	1.000000
0.000000	0.535898	1.000000	0.000000	0.000000	2.000000
0.000000	0.535898	1.000000	-0.267949	0.464102	1.000000
0.000000	0.000000	0.000000	-0.267949	0.464102	1.000000
-0.267949	0.464102	1.000000	0.000000	0.000000	2.000000
-0.267949	0.464102	1.000000	-0.464102	0.267949	1.000000
0.000000	0.000000	0.000000	-0.464102	0.267949	1.000000
-0.464102	0.267949	1.000000	0.000000	0.000000	2.000000
-0.464102	0.267949	1.000000	-0.535898	0.000000	1.000000
0.000000	0.000000	0.000000	-0.535898	0.000000	1.000000
-0.535898	0.000000	1.000000	0.000000	0.000000	2.000000
-0.535898	0.000000	1.000000	-0.464102	-0.267949	1.000000
0.000000	0.000000	0.000000	-0.464102	-0.267949	1.000000
-0.464102	-0.267949	1.000000	0.000000	0.000000	2.000000
-0.464102	-0.267949	1.000000	-0.267949	-0.464102	1.000000
0.000000	0.000000	0.000000	-0.267949	-0.464102	1.000000
-0.267949	-0.464102	1.000000	0.000000	0.000000	2.000000
-0.267949	-0.464102	1.000000	-0.000000	-0.535898	1.000000
0.000000	0.000000	0.000000	-0.000000	-0.535898	1.000000
-0.000000	-0.535898	1.000000	0.000000	0.000000	2.000000
-0.000000	-0.535898	1.000000	0.267949	-0.464102	1.000000
0.000000	0.000000	0.000000	0.267949	-0.464102	1.000000
0.267949	-0.464102	1.000000	0.000000	0.000000	2.000000
0.267949	-0.464102	1.000000	0.464102	-0.267949	1.000000
0.000000	0.000000	0.000000	0.464102	-0.267949	1.000000
0.464102	-0.267949	1.000000	0.000000	0.000000	2.000000
0.464102	-0.267949	1.000000	0.535898	-0.000000	1.000000
0.000000	0.000000	0.000000	-0.154701	-0.886751	-0.690599
-0.154701	-0.886751	-0.690599	-0.154701	-0.690599	-0.886751
-0.154701	-0.886751	-0.690599	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.154701	-0.690599	-0.886751
-0.154701	-0.690599	-0.886751	-0.267949	-0.464102	-1.000000
-0.154701	-0.690599	-0.886751	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.267949	-0.464102	-1.000000
-0.267949	-0.464102	-1.000000	-0.464102	-0.267949	-1.000000
-0.267949	-0.464102	-1.000000	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.464102	-0.267949	-1.000000
-0.464102	-0.267949	-1.000000	-0.690599	-0.154701	-0.886751
-0.464102	-0.267949	-1.000000	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.690599	-0.154701	-0.886751
-0.690599	-0.154701	-0.886751	-0.886751	-0.154701	-0.690599
-0.690599	-0.154701	-0.886751	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.886751	-0.154701	-0.690599
-0.886751	-0.154701	-0.690599	-1.000000	-0.267949	-0.464102
-0.886751	-0.154701	-0.690599	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-1.000000	-0.267949	-0.464102
-1.000000	-0.267949	-0.464102	-1.000000	-0.464102	-0.267949
-1.000000	-0.267949	-0.464102	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-1.000000	-0.464102	-0.267949
-1.000000	-0.464102	-0.267949	-0.886751	-0.690599	-0.154701
-1.000000	-0.464102	-0.267949	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.886751	-0.690599	-0.154701
-0.886751	-0.690599	-0.154701	-0.690599	-0.886751	-0.154701
-0.886751	-0.690599	-0.154701	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.690599	-0.886751	-0.154701
-0.690599	-0.886751	-0.154701	-0.464102	-1.000000	-0.267949
-0.690599	-0.886751	-0.154701	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.464102	-1.000000	-0.267949
-0.464102	-1.000000	-0.267949	-0.267949	-1.000000	-0.464102
-0.464102	-1.000000	-0.267949	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.267949	-1.000000	-0.464102
-0.267949	-1.000000	-0.464102	-0.154701	-0.886751	-0.690599
-0.267949	-1.000000	-0.464102	-1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	-0.886751	-0.154701	0.690599
-0.886751	-0.154701	0.690599	-0.690599	-0.154701	0.886751
-0.886751	-0.154701	0.690599	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.690599	-0.154701	0.886751
-0.690599	-0.154701	0.886751	-0.464102	-0.267949	1.000000
-0.690599	-0.154701	0.886751	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.464102	-0.267949	1.000000
-0.464102	-0.267949	1.000000	-0.267949	-0.464102	1.000000
-0.464102	-0.267949	1.000000	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.267949	-0.464102	1.000000
-0.267949	-0.464102	1.000000	-0.154701	-0.690599	0.886751
-0.267949	-0.464102	1.000000	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.154701	-0.690599	0.886751
-0.154701	-0.690599	0.886751	-0.154701	-0.886751	0.690599
-0.154701	-0.690599	0.886751	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.154701	-0.886751	0.690599
-0.154701	-0.886751	0.690599	-0.267949	-1.000000	0.464102
-0.154701	-0.886751	0.690599	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.267949	-1.000000	0.464102
-0.267949	-1.000000	0.464102	-0.464102	-1.000000	0.267949
-0.267949	-1.000000	0.464102	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.464102	-1.000000	0.267949
-0.464102	-1.000000	0.267949	-0.690599	-0.886751	0.154701
-0.464102	-1.000000	0.267949	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.690599	-0.886751	0.154701
-0.690599	-0.886751	0.154701	-0.886751	-0.690599	0.154701
-0.690599	-0.886751	0.154701	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.886751	-0.690599	0.154701
-0.886751	-0.690599	0.154701	-1.000000	-0.464102	0.267949
-0.886751	-0.690599	0.154701	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-1.000000	-0.464102	0.267949
-1.000000	-0.464102	0.267949	-1.000000	-0.267949	0.464102
-1.000000	-0.464102	0.267949	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-1.000000	-0.267949	0.464102
-1.000000	-0.267949	0.464102	-0.886751	-0.154701	0.690599
-1.000000	-0.267949	0.464102	-1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	-0.886751	0.154701	-0.690599
-0.886751	0.154701	-0.690599	-0.690599	0.154701	-0.886751
-0.886751	0.154701	-0.690599	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.690599	0.154701	-0.886751
-0.690599	0.154701	-0.886751	-0.464102	0.267949	-1.000000
-0.690599	0.154701	-0.886751	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.464102	0.267949	-1.000000
-0.464102	0.267949	-1.000000	-0.267949	0.464102	-1.000000
-0.464102	0.267949	-1.000000	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.267949	0.464102	-1.000000
-0.267949	0.464102	-1.000000	-0.154701	0.690599	-0.886751
-0.267949	0.464102	-1.000000	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.154701	0.690599	-0.886751
-0.154701	0.690599	-0.886751	-0.154701	0.886751	-0.690599
-0.154701	0.690599	-0.886751	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.154701	0.886751	-0.690599
-0.154701	0.886751	-0.690599	-0.267949	1.000000	-0.464102
-0.154701	0.886751	-0.690599	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.267949	1.000000	-0.464102
-0.267949	1.000000	-0.464102	-0.464102	1.000000	-0.267949
-0.267949	1.000000	-0.464102	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.464102	1.000000	-0.267949
-0.464102	1.000000	-0.267949	-0.690599	0.886751	-0.154701
-0.464102	1.000000	-0.267949	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.690599	0.886751	-0.154701
-0.690599	0.886751	-0.154701	-0.886751	0.690599	-0.154701
-0.690599	0.886751	-0.154701	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.886751	0.690599	-0.154701
-0.886751	0.690599	-0.154701	-1.000000	0.464102	-0.267949
-0.886751	0.690599	-0.154701	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-1.000000	0.464102	-0.267949
-1.000000	0.464102	-0.267949	-1.000000	0.267949	-0.464102
-1.000000	0.464102	-0.267949	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-1.000000	0.267949	-0.464102
-1.000000	0.267949	-0.464102	-0.886751	0.154701	-0.690599
-1.000000	0.267949	-0.464102	-1.154701	1.154701	-1.154701
0.000000	0.000000	0.000000	-0.154701	0.886751	0.690599
-0.154701	0.886751	0.690599	-0.154701	0.690599	0.886751
-0.154701	0.886751	0.690599	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.154701	0.690599	0.886751
-0.154701	0.690599	0.886751	-0.267949	0.464102	1.000000
-0.154701	0.690599	0.886751	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.267949	0.464102	1.000000
-0.267949	0.464102	1.000000	-0.464102	0.267949	1.000000
-0.267949	0.464102	1.000000	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.464102	0.267949	1.000000
-0.464102	0.267949	1.000000	-0.690599	0.154701	0.886751
-0.464102	0.267949	1.000000	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.690599	0.154701	0.886751
-0.690599	0.154701	0.886751	-0.886751	0.154701	0.690599
-0.690599	0.154701	0.886751	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.886751	0.154701	0.690599
-0.886751	0.154701	0.690599	-1.000000	0.267949	0.464102
-0.886751	0.154701	0.690599	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-1.000000	0.267949	0.464102
-1.000000	0.267949	0.464102	-1.000000	0.464102	0.267949
-1.000000	0.267949	0.464102	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-1.000000	0.464102	0.267949
-1.000000	0.464102	0.267949	-0.886751	0.690599	0.154701
-1.000000	0.464102	0.267949	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.886751	0.690599	0.154701
-0.886751	0.690599	0.154701	-0.690599	0.886751	0.154701
-0.886751	0.690599	0.154701	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.690599	0.886751	0.154701
-0.690599	0.886751	0.154701	-0.464102	1.000000	0.267949
-0.690599	0.886751	0.154701	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.464102	1.000000	0.267949
-0.464102	1.000000	0.267949	-0.267949	1.000000	0.464102
-0.464102	1.000000	0.267949	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	-0.267949	1.000000	0.464102
-0.267949	1.000000	0.464102	-0.154701	0.886751	0.690599
-0.267949	1.000000	0.464102	-1.154701	1.154701	1.154701
0.000000	0.000000	0.000000	0.886751	-0.154701	-0.690599
0.886751	-0.154701	-0.690599	0.690599	-0.154701	-0.886751
0.886751	-0.154701	-0.690599	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.690599	-0.154701	-0.886751
0.690599	-0.154701	-0.886751	0.464102	-0.267949	-1.000000
0.690599	-0.154701	-0.886751	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.464102	-0.267949	-1.000000
0.464102	-0.267949	-1.000000	0.267949	-0.464102	-1.000000
0.464102	-0.267949	-1.000000	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.267949	-0.464102	-1.000000
0.267949	-0.464102	-1.000000	0.154701	-0.690599	-0.886751
0.267949	-0.464102	-1.000000	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.154701	-0.690599	-0.886751
0.154701	-0.690599	-0.886751	0.154701	-0.886751	-0.690599
0.154701	-0.690599	-0.886751	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.154701	-0.886751	-0.690599
0.154701	-0.886751	-0.690599	0.267949	-1.000000	-0.464102
0.154701	-0.886751	-0.690599	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.267949	-1.000000	-0.464102
0.267949	-1.000000	-0.464102	0.464102	-1.000000	-0.267949
0.267949	-1.000000	-0.464102	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.464102	-1.000000	-0.267949
0.464102	-1.000000	-0.267949	0.690599	-0.886751	-0.154701
0.464102	-1.000000	-0.267949	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.690599	-0.886751	-0.154701
0.690599	-0.886751	-0.154701	0.886751	-0.690599	-0.154701
0.690599	-0.886751	-0.154701	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.886751	-0.690599	-0.154701
0.886751	-0.690599	-0.154701	1.000000	-0.464102	-0.267949
0.886751	-0.690599	-0.154701	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	1.000000	-0.464102	-0.267949
1.000000	-0.464102	-0.267949	1.000000	-0.267949	-0.464102
1.000000	-0.464102	-0.267949	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	1.000000	-0.267949	-0.464102
1.000000	-0.267949	-0.464102	0.886751	-0.154701	-0.690599
1.000000	-0.267949	-0.464102	1.154701	-1.154701	-1.154701
0.000000	0.000000	0.000000	0.154701	-0.886751	0.690599
0.154701	-0.886751	0.690599	0.154701	-0.690599	0.886751
0.154701	-0.886751	0.690599	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.154701	-0.690599	0.886751
0.154701	-0.690599	0.886751	0.267949	-0.464102	1.000000
0.154701	-0.690599	0.886751	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.267949	-0.464102	1.000000
0.267949	-0.464102	1.000000	0.464102	-0.267949	1.000000
0.267949	-0.464102	1.000000	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.464102	-0.267949	1.000000
0.464102	-0.267949	1.000000	0.690599	-0.154701	0.886751
0.464102	-0.267949	1.000000	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.690599	-0.154701	0.886751
0.690599	-0.154701	0.886751	0.886751	-0.154701	0.690599
0.690599	-0.154701	0.886751	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.886751	-0.154701	0.690599
0.886751	-0.154701	0.690599	1.000000	-0.267949	0.464102
0.886751	-0.154701	0.690599	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	1.000000	-0.267949	0.464102
1.000000	-0.267949	0.464102	1.000000	-0.464102	0.267949
1.000000	-0.267949	0.464102	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	1.000000	-0.464102	0.267949
1.000000	-0.464102	0.267949	0.886751	-0.690599	0.154701
1.000000	-0.464102	0.267949	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.886751	-0.690599	0.154701
0.886751	-0.690599	0.154701	0.690599	-0.886751	0.154701
0.886751	-0.690599	0.154701	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.690599	-0.886751	0.154701
0.690599	-0.886751	0.154701	0.464102	-1.000000	0.267949
0.690599	-0.886751	0.154701	1.154701	-1.154701	1.154701
0.000000	0.000000	0.000000	0.464102	-1.000000	0.267949
0.464102	-1.000000	0.267949	0.267949	-1.000000	0.464102
